tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
667861340749471744,221,69,Sat Nov 21 00:25:26 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/J4GnJ5Swba
667832474953625600,255,55,Fri Nov 20 22:30:44 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/z1xPTgVLc7
667806454573760512,931,417,Fri Nov 20 20:47:20 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/TBmDJXJB75
667801013445750784,283,82,Fri Nov 20 20:25:43 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/SVMF4Frf1w
667793409583771648,609,286,Fri Nov 20 19:55:30 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/s1z7mX4c9O
667782464991965184,363,211,Fri Nov 20 19:12:01 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/BY8nQAMz0x
667773195014021121,204,44,Fri Nov 20 18:35:10 +0000 2015,Twitter Web Client,Original tweet,https://t.co/ZU0i0KJyqD
667766675769573376,373,185,Fri Nov 20 18:09:16 +0000 2015,Twitter Web Client,Original tweet,https://t.co/3Bbba7y8Xe
667728196545200128,325,127,Fri Nov 20 15:36:22 +0000 2015,Twitter Web Client,Original tweet,https://t.co/LwrCwlWwPB
667724302356258817,424,269,Fri Nov 20 15:20:54 +0000 2015,Twitter Web Client,Original tweet,https://t.co/0nIxPTDWAZ
667550904950915073,0,29,Fri Nov 20 03:51:52 +0000 2015,Twitter Web Client,This is a retweet,This is a retweet
667550882905632768,0,26,Fri Nov 20 03:51:47 +0000 2015,Twitter Web Client,This is a retweet,This is a retweet
667549055577362432,5109,1958,Fri Nov 20 03:44:31 +0000 2015,Twitter Web Client,Original tweet,https://t.co/i9iSGNn3fx
667546741521195010,303,107,Fri Nov 20 03:35:20 +0000 2015,Twitter Web Client,Original tweet,https://t.co/afRtVsoIIb
667544320556335104,761,459,Fri Nov 20 03:25:43 +0000 2015,Twitter Web Client,Original tweet,https://t.co/8zcwIoiuqR
667538891197542400,176,58,Fri Nov 20 03:04:08 +0000 2015,Twitter Web Client,Original tweet,https://t.co/IQTOMqDUIe
667534815156183040,719,446,Fri Nov 20 02:47:56 +0000 2015,Twitter Web Client,Original tweet,https://t.co/CpPxD28IpV
667530908589760512,412,206,Fri Nov 20 02:32:25 +0000 2015,Twitter Web Client,Original tweet,https://t.co/xoRWyQTcmy
667524857454854144,1507,968,Fri Nov 20 02:08:22 +0000 2015,Twitter Web Client,Original tweet,https://t.co/seESNzgsdm
667517642048163840,332,166,Fri Nov 20 01:39:42 +0000 2015,Twitter Web Client,Original tweet,https://t.co/fh5KflzBR0
667509364010450944,6065,1867,Fri Nov 20 01:06:48 +0000 2015,Twitter Web Client,Original tweet,https://t.co/0aDF62KVP7
667502640335572993,484,194,Fri Nov 20 00:40:05 +0000 2015,Twitter Web Client,Original tweet,https://t.co/n5Wtb5Hvsl
667495797102141441,457,231,Fri Nov 20 00:12:54 +0000 2015,Twitter Web Client,Original tweet,https://t.co/5NhPV8E45i
667491009379606528,459,190,Thu Nov 19 23:53:52 +0000 2015,Twitter Web Client,Original tweet,https://t.co/ITxxcc4v9y
667470559035432960,225,85,Thu Nov 19 22:32:36 +0000 2015,Twitter Web Client,Original tweet,https://t.co/J4vn2rOYFk
667455448082227200,171,53,Thu Nov 19 21:32:34 +0000 2015,Twitter Web Client,Original tweet,https://t.co/uLzRi1drVK
667453023279554560,279,74,Thu Nov 19 21:22:56 +0000 2015,Twitter Web Client,Original tweet,https://t.co/6uLCWR9Efa
667443425659232256,682,489,Thu Nov 19 20:44:47 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/rqO4I3nf2N
667437278097252352,396,198,Thu Nov 19 20:20:22 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/97HuBrVuOx
667435689202614272,266,76,Thu Nov 19 20:14:03 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/PQni2sjPsm
667405339315146752,411,197,Thu Nov 19 18:13:27 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/3Fm9PwLju1
667393430834667520,168,50,Thu Nov 19 17:26:08 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/A37eGLz5WS
667369227918143488,328,145,Thu Nov 19 15:49:57 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/LEaviT37v1
667211855547486208,425,210,Thu Nov 19 05:24:37 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/azEoGqVonH
667200525029539841,544,228,Thu Nov 19 04:39:35 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/60xYFRATPZ
667192066997374976,331,86,Thu Nov 19 04:05:59 +0000 2015,Twitter for iPhone,Original tweet,https://t.co/QCugm5ydl6
